Name,Address,Section,Lab 1,Lab 2,Lab 3,Lab 4,Lab 5,Lab 6,Lab 7,Lab 8,Lab 9,Lab 10,HW 1,HW 2,HW 3,HW 4,HW 5,HW 6,HW 7,HW 8,HW 9,HW 10,HW 11,HW 12,Project 1,Project 2,Exam 1,Exam 2,Exam 3
"Lutfy, Marlin","967 Mars St, Peever SD, 57257",10,100,100,58.0,79.9,69.5,56.8,48.1,94.6,49.3,34.5,100,67.2,81.4,100,100,47.5,100,57.9,100,61.1,67.5,90.0,46.6,31.8,74.0,74.3,99.3
"Stage, Mikhaila","167 Wayne Pl, Garrochales PR, 652",2,99.6,47.9,100,88.9,54.9,88.8,61.7,77.6,57.8,100,74.9,83.6,88.9,89.5,94.9,68.9,64.8,65.3,78.0,95.2,67.6,90.0,54.7,100,100,98.4,65.1
"Scarfo, Jolena","768 Kent St, Apt. 89, Holden LA, 70744",9,64.7,94.3,85.6,100,61.6,65.7,93.1,100,75.4,66.2,82.4,63.8,100,75.4,77.2,92.5,100,98.8,100,100,68.3,90.2,50.4,93.6,87.6,75.1,92.3
"Faigle, Lanisha","92 18th St, California Hot Springs CA, 93207",7,48.0,71.0,100,42.2,100,82.4,36.2,79.0,30.4,80.4,72.6,87.4,56.0,100,74.7,73.0,93.1,100,78.4,82.4,75.5,78.1,54.4,100,100,65.6,73.9
"Schieferstein, Elektra","119 Amherst St, Albany GA, 31708",5,57.0,100,100,80.8,80.9,100,90.1,61.6,100,58.4,67.5,100,93.1,11.3,100,71.1,98.1,100,65.6,93.5,52.7,50.8,99.6,83.3,65.7,53.9,100
"Chrystal, Marquisa","957 Adele Ct, Louann AR, 71751",5,82.2,72.6,100,,96.4,88.0,40.8,43.6,74.6,84.9,38.1,58.4,58.0,83.3,79.0,81.3,35.4,100,94.1,100,100,92.5,80.6,48.5,86.5,73.2,28.5
"Countess, Ebonee","29 Devonshire Way, Frederica DE, 19946",8,36.2,49.7,12.2,50.1,83.2,55.9,20.4,96.7,45.3,88.0,67.2,66.0,90.9,79.4,80.5,70.8,52.7,72.0,100,100,90.8,90.1,98.1,97.3,63.7,97.2,66.0
"Rufer, Malaina","951 Battery St, Johnsonville SC, 29555",9,100,75.2,49.5,47.4,57.7,100,53.0,49.5,92.2,97.3,95.6,60.4,85.6,56.8,81.3,100,100,100,84.8,78.4,100,100,100,82.1,48.0,36.2,23.6
"Trippi, Arwyn","597 Verdi Pl, Trenton NJ, 8619",9,75.9,60.7,74.3,100,47.0,94.8,100,94.2,21.1,36.5,47.2,47.9,100,64.7,68.6,85.7,47.9,57.0,92.5,100,78.1,81.8,73.4,72.9,85.3,83.8,75.9
"Therrell, Tali","911 El Camino Del Mar, Berkeley CA, 94707",5,81.9,68.5,65.3,82.5,65.7,91.8,100,83.8,78.8,100,90.5,100,68.4,100,100,46.0,98.4,82.8,63.0,80.1,35.8,100,79.7,83.1,85.6,72.2,79.3
"Bacman, Candida","613 Isola Way, Oak Creek WI, 53154",1,32.1,100,29.8,100,96.7,28.7,68.9,71.9,62.9,63.3,56.0,88.3,94.7,98.3,68.0,69.5,87.2,45.6,71.7,73.9,76.9,77.1,43.5,32.9,67.0,88.3,97.6
"Buehner, Cobin","543 Yerba Buena Ln, Apt. 55, Avilla MO, 64833",10,86.3,61.8,94.8,30.5,86.2,72.9,89.5,43.1,76.5,100,55.7,64.1,63.7,100.0,52.7,88.2,92.3,46.2,44.2,93.2,72.3,100,43.7,49.8,86.8,87.9,83.6
"Sieracki, Spring","8 Unnamed 099, Alberta MN, 56207",8,60.2,46.0,100,69.4,96.8,73.3,81.2,89.1,72.1,94.9,81.0,52.3,63.6,100,88.9,14.4,50.6,87.8,74.0,51.6,100,75.8,72.3,84.3,87.6,79.5,75.6
"Deetz, Sr., Merritt","672 12th St, Lesage WV, 25537",1,62.7,100,66.5,63.5,27.2,100,-7.9,38.4,76.4,100,75.8,79.9,80.2,100,62.0,59.4,74.7,72.7,86.5,100,70.3,70.2,76.5,77.9,97.5,56.1,100
"Elreda, Esq., Redell","41 48th Ave, Hampden Sydney VA, 23943",6,98.4,41.9,72.6,18.3,97.1,57.9,86.4,93.9,70.9,77.5,84.2,75.4,52.4,100,97.3,80.1,79.0,100,74.4,100,69.5,42.9,100,90.3,78.3,95.4,77.3
"Geiken, Maire","5 Innes Ct, Spencer OH, 44275",2,96.8,45.6,100,100,27.6,74.7,91.6,66.7,67.0,75.3,67.0,93.7,71.0,71.5,66.7,79.2,40.7,97.5,57.8,63.8,52.7,73.9,100,71.0,47.3,83.8,78.9
"Moose, IV, Drew","470 Unnamed 120, Avery CA, 95224",7,100,100,100,100,44.3,100,69.1,85.8,64.0,75.7,42.4,78.4,100,80.8,100,74.4,88.5,82.9,32.9,47.4,25.5,48.1,64.1,98.7,49.9,65.6,72.5
"Gillon, Lalita","687 Saint Elmo Way, Simonton TX, 77476",2,85.5,94.7,88.2,63.0,80.2,45.2,40.5,100,29.5,100,88.8,42.9,42.0,74.3,64.6,55.7,60.9,62.6,89.5,80.1,100,49.6,90.8,92.0,46.2,100,100
"Lovorn, Brittnye","656 Richard Henry Dana Pl, Port Alsworth AK, 99653",10,77.8,97.8,36.1,81.4,90.0,43.1,76.3,79.8,24.8,100,86.9,86.4,87.8,20.0,61.8,100,100,77.9,100,53.4,71.7,97.6,92.8,26.1,100,81.5,75.1
"Cusimano, Krista","934 Huntington Dr, Apt. 6, Buffalo NY, 14225",10,25.5,100,100,100,54.1,67.5,36.5,78.0,67.5,61.3,89.5,54.3,33.8,61.7,53.5,91.2,77.8,100,86.2,89.2,57.7,83.1,100,41.7,86.2,63.2,65.8
"Courcelle, Lenell","294 Encanto Ave, Lynn Haven FL, 32444",7,55.7,78.3,100,63.0,98.1,79.8,85.7,49.6,100,55.2,47.5,100,96.7,100,79.3,100,65.1,67.2,100,98.2,100,58.1,100,100,69.8,100,74.1
"Isola, Sonali","280 Fort Miley 5, Crawford MS, 39743",10,80.2,41.0,59.0,66.5,76.0,100,85.3,42.0,92.2,52.7,100,54.8,81.2,81.2,80.7,38.0,65.4,37.0,100,76.3,76.6,100,52.2,63.5,68.6,38.2,100
"Mccarley, Klint","828 Glenview Dr, Whittington IL, 62897",8,66.8,82.1,100,97.6,94.9,45.0,83.4,59.3,100,75.1,95.1,96.1,54.1,96.5,100,51.2,68.3,79.7,100,62.8,100,91.3,71.4,38.7,100,100,95.3
"Fairclough, Evelyne","315 Sixth St, San Antonio TX, 78225",1,93.6,94.3,73.9,84.2,100,100,92.4,71.6,70.6,39.7,81.1,92.8,72.6,59.2,100,55.3,84.3,81.0,84.6,90.1,93.3,100,70.8,66.8,86.9,64.4,100
"Voytek, Charmagne","283 Whitney St, Saint Paul MN, 55144",5,77.5,71.8,49.5,98.8,100,48.4,98.3,60.6,99.8,77.7,100,71.9,56.6,100,98.3,100,90.7,92.8,80.0,100,100,86.4,97.1,61.3,100,100,66.6
"Matthies, Paz","413 Blanche St, Creswell OR, 97426",8,84.9,100,85.5,88.0,100,34.9,69.8,57.3,62.5,46.0,45.6,53.5,85.5,100,60.2,98.4,52.8,72.3,56.3,100,85.9,100,69.0,54.0,78.7,64.2,100
"Fawler, Shaquanda","91 Mercury St, Oberlin OH, 44074",7,75.3,100,100.0,66.9,85.5,74.7,70.3,47.7,13.1,71.2,100,62.8,81.3,96.7,60.8,74.5,89.7,79.9,85.4,52.5,100,90.0,27.8,88.6,92.7,50.7,100
"Varnadore, IV, Clay","709 40th Ave, Apt. 68, Paradox CO, 81429",6,100,100,71.7,100,58.0,96.1,100,90.1,100,80.0,65.3,65.5,94.9,58.6,81.3,99.6,73.5,55.8,100,93.8,79.1,22.4,83.2,95.2,80.7,100,95.2
"Poeppel, Marisella","595 Mccoppin St, Cleveland OH, 44193",8,100,72.1,100,70.4,47.4,74.3,98.9,93.7,81.3,60.3,59.7,76.9,79.2,82.9,69.4,29.2,73.4,69.9,57.9,67.3,88.5,100,48.3,68.3,100,100,58.0
"Six, Tairra","51 Hillview Ct, Manchester NH, 3109",4,83.6,100,75.0,100,53.8,55.8,45.1,80.4,16.4,53.1,100,100,64.0,76.3,76.0,100,88.1,61.1,100,94.7,33.8,99.0,82.2,96.7,100,100,100
"Pannunzio, Agostino","312 Missouri St, Indianapolis IN, 46290",5,73.5,82.5,77.9,99.3,80.1,75.3,92.7,100,73.5,84.4,87.1,65.2,77.2,61.6,98.1,58.1,89.6,82.4,92.1,80.0,82.6,96.5,71.0,99.1,100,100,100
"Madrid, Jarit","888 Loyola Ter, Elk Horn IA, 51531",7,12.0,55.7,71.2,44.2,94.6,99.4,97.6,95.3,100,74.0,100,88.2,74.6,87.4,89.3,90.7,78.6,84.5,87.0,17.6,62.1,61.3,88.3,100,86.3,91.5,58.6
"Michela, III, Niya","101 San Diego Ave, Lancaster TX, 75146",5,52.1,92.3,69.4,32.5,100,100,82.9,63.6,60.2,88.7,65.9,100,100,80.0,100,97.8,45.6,90.6,67.3,63.5,72.8,77.3,33.2,83.7,100,100,92.5
"Husanini, Landra","745 Jamestown Ave, Rose Creek MN, 55970",6,85.8,75.6,89.0,77.7,76.8,31.9,81.5,100,100,57.0,100,100,47.0,100,100,100,100,64.8,56.7,69.8,83.9,86.8,60.4,65.9,80.8,49.6,100
"Tatel, Johnie","966 Ritch St, Apt. 15, Cohagen MT, 59322",6,61.8,87.9,81.3,60.8,87.0,60.4,69.8,90.0,91.6,69.7,88.0,100,43.9,100,100,100,84.4,87.5,100,100,84.4,84.7,100,78.5,94.9,74.0,94.8
"Standage, Clavin","247 Dublin St, Negreet LA, 71460",7,42.7,67.0,90.7,35.5,100,83.6,79.2,100,80.9,70.1,98.3,79.8,85.5,43.9,98.4,76.4,33.3,69.9,68.9,100,50.1,23.3,90.4,46.0,48.7,81.1,100
"Fathy, II, Dezerae","48 Executive Park Blvd, Belle Glade FL, 33430",2,66.9,59.8,35.3,46.1,100,85.7,95.4,96.2,32.1,100,65.0,66.7,100,100,57.3,88.8,100,79.6,75.5,73.2,100,78.8,63.5,61.7,100,100,100
"Saller, Sr., Trystan","5 Pulaski Ave, Adak AK, 99546",10,51.0,58.0,43.6,53.0,88.3,90.9,65.9,42.4,94.1,67.4,100,54.5,64.4,100,91.5,95.5,100,91.7,67.0,100,100,64.3,100,89.2,68.9,67.9,93.4
"Geter, Connell","289 Allen St, Royal Oak MI, 48068",8,71.1,86.0,100,100,74.1,100,68.5,100,48.8,43.1,77.1,84.1,95.9,70.6,68.6,96.6,62.0,57.0,53.6,100,65.3,99.7,62.9,40.4,100,47.3,77.7
"Babikian, Ned","756 Mariposa St, Ruston LA, 71273",3,64.2,66.3,54.8,79.6,73.5,46.5,51.6,50.6,50.8,99.0,82.9,97.5,82.4,79.2,100,46.3,25.9,100,43.2,49.9,87.9,100,47.7,82.2,100,100,97.5
"Iltzsch, Ardith","334 Friendship Ct, Randall KS, 66963",10,100,40.3,80.2,92.7,45.0,84.1,81.6,47.6,37.0,86.9,65.1,100,62.7,100,94.3,93.2,79.2,61.3,59.2,77.8,95.8,100,100,42.2,88.7,100,56.8
"Heidrich, Crystie","348 Raycliff Ter, Fallston NC, 28042",1,74.3,65.3,71.5,80.0,87.0,61.4,87.1,77.8,100,93.9,68.2,79.7,82.9,60.0,90.1,100,46.8,90.6,87.4,77.4,100,100,63.4,44.7,100,81.9,100
"Bialek, III, Shadia","805 Mark Twain Pl, Key West FL, 33040",4,100,83.4,100,100,100,48.8,100,100,56.2,36.3,100,69.8,49.2,99.8,62.4,100,79.2,39.9,100,67.4,100,75.6,71.5,100,80.4,67.7,100
"Kissi, Rosalinda","456 Tiffany Ave, Grove Hill AL, 36451",7,24.4,73.6,65.7,79.8,85.5,100,100,46.4,32.2,55.6,100,81.6,83.2,63.0,100,99.8,100,54.8,78.0,98.5,69.0,95.6,86.3,100,92.5,68.7,75.0
"Drebes, Derek","507 Dickinson St, Birmingham AL, 35260",10,36.7,100,61.3,77.9,66.7,50.0,54.7,88.3,54.1,49.2,41.5,100,76.3,100,76.3,79.7,43.4,100,67.1,93.1,37.9,71.5,86.7,70.5,85.3,42.6,96.5
"Vantine, Esq., Tara","885 Moulton St, Hollidaysburg PA, 16648",5,76.4,59.1,100,42.0,80.5,100,81.3,70.9,100,92.0,100,74.3,44.2,79.0,100,51.7,83.8,78.5,77.4,60.1,67.6,86.3,100,100,100,92.7,98.4
"Jose, II, Hyacinth","520 Polk St, Apt. 94, Clarksville TN, 37042",8,45.2,81.6,86.1,73.2,49.5,100,60.9,16.2,97.9,79.7,100,100,80.6,51.6,47.7,61.5,68.8,93.9,72.8,71.1,62.6,49.9,75.0,67.1,69.5,87.3,41.3
"Nossett, Shayda","966 Church Access Rd, Apt. 84, Whelen Springs AR, 71772",2,65.3,66.4,82.1,94.3,100,61.1,94.6,43.2,30.3,100,76.1,84.9,76.8,88.3,71.3,76.9,61.6,67.7,100,19.6,64.3,78.9,-0.1,44.9,64.2,42.5,93.3
"Macinnes, Arlen","743 Steuart St, Apt. 11, Norristown PA, 19403",5,100,83.3,100,76.2,100,64.5,87.7,60.8,49.7,87.5,97.2,100,74.8,73.6,100,81.1,61.7,51.9,77.1,87.6,100,96.3,100,100,100,100,100
"Witte, Terry","703 Chenery St, Jefferson City TN, 37760",8,73.9,100,100,76.4,63.6,91.8,68.7,44.5,56.2,45.9,56.9,80.6,100,85.3,78.7,80.3,83.7,62.2,100,79.7,86.7,100,100,72.0,100,100,100
"Tomilson, Catoya","991 14th Ti St, Denver CO, 80207",10,78.6,82.7,88.4,38.8,31.2,75.2,100,63.6,44.3,37.9,78.2,55.5,72.7,87.6,100,88.9,97.8,89.1,57.0,100,92.1,89.3,16.7,100,95.3,100,73.6
"Revello, Kamaal","724 Derby St, Mayfield KY, 42066",1,31.9,100,100,62.8,96.5,67.2,90.8,83.3,42.6,49.7,100,62.9,49.8,90.0,71.2,80.5,66.3,71.4,57.7,75.8,99.8,70.4,44.0,100,100,82.1,89.8
"Buerk, Sr., Charlsey","245 Encinal Walk, Apt. 3, Coolspring PA, 15730",4,100,91.0,77.8,98.1,53.2,88.5,98.3,97.8,58.5,78.6,100,100,51.5,51.9,67.6,95.5,86.9,95.8,73.0,76.1,97.1,87.2,56.9,88.7,46.7,100,89.1
"Weiher, Cesilia","932 Zanowitz St, Granville TN, 38564",1,85.9,54.2,60.6,70.3,71.9,89.0,59.4,90.0,92.0,42.1,100,27.2,100,100,78.1,47.9,84.6,39.4,87.7,75.6,84.4,64.0,20.4,31.9,88.3,81.8,93.7
"Edison, Esq., Roneshia","657 Clarendon Ave, Ledger MT, 59456",3,67.9,91.3,98.6,81.5,100,75.1,98.1,85.6,69.9,71.0,94.6,100,100,82.4,100,90.7,63.8,91.3,74.1,86.8,83.7,62.1,100,55.1,96.4,88.7,57.3
"Rodia, Maricruz","678 Saint Francis Blvd, Lockney TX, 79241",3,60.4,65.3,83.5,79.8,100,81.0,91.3,60.5,56.1,98.3,100,48.0,54.6,92.4,50.9,80.9,85.4,25.8,89.6,100,93.4,59.4,81.7,100,79.0,90.9,100
"Goodgion, Wyatt","924 Elizabeth St, Apo AE, 9262",8,66.5,68.5,100,99.1,74.3,65.5,80.3,71.4,55.3,36.0,93.1,42.1,65.7,96.5,53.6,100,55.5,32.1,50.9,75.2,82.0,91.0,84.8,15.9,67.7,66.3,86.3
"Lilienthal, IV, Lequita","214 Alvord St, Buckner KY, 40010",8,31.4,70.7,56.1,86.3,70.7,98.6,97.0,38.2,67.2,63.2,100,100,71.5,56.1,100,66.2,100,95.8,100,38.3,53.5,84.1,72.0,55.2,61.0,93.2,100
"Sweeny, Lyndsy","867 Treasure Island Rd, Bidwell OH, 45614",3,93.5,61.3,56.1,65.4,74.4,100,53.7,72.1,77.1,100,88.2,99.1,100,100,74.2,63.8,79.4,55.0,100,54.2,66.1,46.0,89.9,80.9,80.9,73.2,100
"Intrabartolo, Zephaniah","74 Yerba Buena Rd, Litchfield ME, 4350",8,75.6,63.1,100,93.6,77.9,71.1,30.0,18.9,51.8,67.6,35.7,66.0,39.5,70.4,100,100,68.1,100,53.5,80.8,56.8,92.6,51.6,91.5,75.4,84.5,100
"Donohve, Sr., Chardae","763 Derby St, Calder ID, 83808",6,84.4,92.0,100,53.1,25.1,77.7,20.5,50.4,61.5,70.9,82.0,68.4,92.0,100,77.6,87.6,100,86.6,71.2,93.8,25.6,68.9,100,85.3,70.2,100,94.1
"Koepsell, Hisham","259 San Andreas Way, Bradenton FL, 34207",10,97.7,70.1,60.0,65.8,75.2,61.2,100,100,100,97.8,80.4,34.6,58.0,53.3,100,100,100,53.8,33.9,70.1,100,100,34.1,24.4,76.2,100,97.9
"Welby, II, Heraclio","499 J St, Coden AL, 36523",7,67.5,100,100,92.3,53.7,84.5,80.0,90.9,71.7,73.3,65.6,59.8,79.3,76.4,38.5,100,100,62.2,81.2,39.5,83.4,100,49.2,38.3,100.0,32.0,100
"Paradis, II, Roxana","622 Butte Pl, Daytona Beach FL, 32120",5,22.4,79.8,60.0,81.0,93.1,87.1,74.2,29.4,57.4,83.6,79.5,36.8,79.0,71.5,65.7,73.1,91.8,87.5,37.7,79.1,76.1,55.3,47.1,100,39.6,100,66.1
"Valcourt, Chan","339 Post St, Mc Grath AK, 99627",5,94.3,100,43.3,56.9,100,79.6,96.9,78.5,87.8,68.6,64.9,73.3,74.1,70.6,88.6,53.3,52.7,86.5,100,53.7,90.2,65.0,76.2,55.3,64.1,54.4,52.5
"Bleyl, Crystal","783 Farallones St, New York NY, 10149",2,56.8,89.9,63.4,51.4,73.8,94.2,82.4,99.9,79.5,62.3,100,75.3,77.6,56.3,100,45.2,50.1,49.9,98.0,72.3,59.3,47.3,84.8,35.2,100,82.4,79.0
"Degross, Loreen","436 Waterville St, Finland MN, 55603",3,60.9,81.2,71.8,43.1,29.3,62.2,98.0,76.8,53.5,58.8,100,93.2,57.2,59.1,100,100,90.1,58.7,100,100,94.8,100,71.4,48.0,100,65.0,66.6
"Number, Shonda","205 Lyndhurst Dr, Lockhart AL, 36455",2,100,100,66.9,88.2,80.3,91.5,100,74.9,76.0,93.6,43.0,92.7,46.0,61.9,97.2,100,98.7,72.3,50.0,88.1,50.6,95.8,25.5,38.3,77.6,88.1,100
"Fuerbringer, Devina","346 Unnamed 146, North Ridgeville OH, 44039",5,90.2,42.7,79.1,100,100,100,63.1,,81.8,41.1,100,74.4,84.7,45.3,100,92.2,74.3,43.8,88.2,99.0,93.6,93.4,76.7,54.9,81.4,95.1,77.4
"Bonita, Jarrad","416 Blanken Ave, Minden TX, 75680",3,100,90.4,61.5,66.9,54.0,100,87.1,44.0,82.6,69.7,57.9,32.4,100,100,100,68.4,71.5,66.2,68.8,,72.8,74.5,63.6,,100,90.8,61.7
"Profancik, IV, Rogerick","196 North View Ct, Palm Beach Gardens FL, 33410",9,61.2,59.9,100,77.3,85.4,52.8,88.7,74.0,46.0,82.7,83.2,59.0,97.7,100,59.1,60.6,28.1,83.0,63.4,52.1,58.8,79.3,77.8,94.4,72.7,77.0,89.4
"Griffieth, Byrant","37 Martin Luther King Jr Dr, Cloverdale IN, 46120",5,89.0,86.2,66.1,31.6,27.8,35.4,84.5,94.9,86.6,19.8,100,100,92.2,100,100,72.5,22.1,63.3,100,99.9,100,57.6,11.6,66.9,48.8,90.7,66.8
"Ezdebski, Cochise","452 Hattie St, Apt. 23, Fpo AP, 96698",2,48.4,51.0,35.8,74.5,100,86.2,99.8,100,75.1,100,39.4,58.3,56.7,42.0,56.0,50.6,58.0,81.9,73.1,84.9,88.3,96.5,48.0,93.2,61.3,100,91.3
"Deakins, Lirio","556 Unnamed 112, Rocky OK, 73661",2,98.5,71.7,59.0,42.9,55.2,58.4,56.3,73.1,52.6,50.8,100,71.5,,50.0,100,72.2,100,9.5,46.7,88.1,-4.6,96.0,96.4,39.1,72.8,51.3,90.0
"Sutor, Shaun","531 Amity Aly, Hiland WY, 82638",1,16.8,69.0,100,89.4,74.6,30.4,81.7,49.1,49.9,60.5,52.5,89.9,88.1,67.4,28.8,55.2,100,79.4,99.0,67.0,99.8,63.2,63.4,74.6,56.6,88.7,69.6
"Teaford, Temika","84 Geary St, Palos Heights IL, 60463",2,61.9,100,100,87.0,83.2,58.9,61.0,100,79.3,49.5,58.5,10.4,89.6,70.2,68.5,91.5,46.9,69.5,100,76.6,57.9,99.0,66.7,29.1,19.2,90.8,60.4
"Mcgaughy, Shontae","319 Judah St, Massena IA, 50853",8,59.2,60.8,96.6,89.5,100,85.6,84.8,93.3,33.8,75.4,71.4,75.3,100,69.2,77.6,44.3,74.8,74.4,100,76.5,89.9,100,33.3,100,100,76.7,100
"Josic, Esq., Kendale","365 Brazil Ave, Fpo AP, 96613",10,59.2,93.2,78.4,80.6,95.2,70.8,64.7,100,82.6,32.4,90.7,84.5,70.6,100,55.0,67.6,56.2,81.5,85.0,30.7,70.1,93.6,49.0,66.0,92.2,55.5,48.5
"Feldmeier, Esq., Recardo","581 Ogden Ave, Wallingford CT, 6493",5,32.4,50.0,91.1,75.7,24.9,46.2,41.5,77.0,100,66.6,77.5,93.2,97.3,100,51.5,55.2,72.8,85.4,43.8,100,100,100,83.1,100,48.5,100,100
"Staats, Blandon","822 Clement St, Palestine TX, 75882",9,79.2,100,100,100,65.4,98.9,76.7,95.4,52.3,74.4,75.1,37.2,54.3,96.2,61.8,20.6,100,100,60.4,89.9,78.8,44.4,58.2,64.0,100,66.5,92.9
"Hung, Tykia","860 Irving St, Pontiac IL, 61764",7,73.5,100,73.4,100,100,82.1,87.1,52.8,68.4,48.9,74.7,68.0,97.7,91.2,100,59.4,76.8,62.4,100,100,76.7,54.4,84.1,84.4,69.9,70.4,64.7
"Rogala, Kathia","329 Whitney St, Port Richey FL, 34668",9,87.8,69.6,25.5,88.3,100,61.2,96.9,100,57.6,97.6,78.0,83.9,100,100,50.9,88.4,100,62.9,65.4,100,77.9,59.7,100,21.1,54.7,65.6,100
"Andreadis, Jedd","465 Bacon St, Sulphur IN, 47174",10,89.1,81.4,87.2,92.6,82.5,69.3,53.1,84.8,39.8,69.0,86.1,98.1,90.1,84.1,100,100,94.4,100,100,90.9,92.9,27.7,82.7,54.9,98.1,68.0,76.9
"Dickins, Jd","76 12th Ti St, Monticello MN, 55590",7,66.2,49.3,100,58.9,43.5,81.7,100,79.9,89.2,97.7,50.5,100,95.7,78.5,57.1,86.9,69.0,96.7,60.9,100,57.7,61.6,99.8,100,90.2,82.7,72.2
"Potestio, Huong","168 Barry Ct, Boone Grove IN, 46302",2,80.2,71.8,23.3,70.1,75.5,68.6,49.7,99.6,100,85.5,56.5,88.6,54.0,90.2,80.3,95.8,87.7,90.1,100,57.5,79.8,55.7,46.5,13.3,93.6,76.0,92.1
"Dannenfelser, Shalise","459 Daggett St, Rio Dell CA, 95562",1,100,71.7,84.3,94.3,85.4,75.5,79.4,98.1,59.1,100,100,86.0,64.8,88.5,100,100,100,100,62.9,80.5,75.7,95.4,100,73.4,100,75.6,100
"Storjohann, Alder","733 D St, Apt. 14, Bettsville OH, 44815",8,73.8,63.1,95.6,98.6,84.7,29.6,84.3,85.8,76.8,100.0,92.1,48.5,38.1,100,73.5,84.8,100,66.8,100,84.3,82.9,57.3,45.3,49.3,100,100,70.8
"Colasamte, Renato","767 Randall St, Hempstead NY, 11550",7,100,98.1,44.6,63.7,97.8,65.4,93.6,34.7,75.5,94.3,72.0,100,100,98.5,97.3,93.4,73.3,68.6,85.1,53.6,71.2,89.9,42.2,40.9,53.9,100,100
"Scruton, Eris","388 Langdon Ct, Cottage Grove WI, 53527",5,69.7,70.5,50.0,95.5,81.3,61.3,58.3,88.4,60.6,100,100,93.0,100,79.7,69.9,79.2,45.1,83.1,94.5,67.5,100,87.1,38.5,46.3,100,-15.6,100
"Parajon, Sr., Aracely","164 Unnamed 044, Apt. 70, Upper Jay NY, 12987",2,92.4,100,100,80.6,50.2,35.6,36.0,75.9,99.1,58.0,100,95.6,100,66.6,96.7,96.0,62.8,88.8,44.6,25.4,69.4,84.6,58.3,-22.2,100,62.3,84.1
"Varisco, Tarique","243 Sfgh Access, Warrenville IL, 60555",2,48.3,100,100,86.5,22.6,79.5,100,51.5,62.6,46.1,58.8,78.8,100,100,82.0,39.9,48.0,97.4,100,65.3,63.2,100,40.7,57.7,74.8,100,100
"Jacobsohn, Astrid","632 Raleigh St, Avant OK, 74001",5,71.3,77.8,76.7,87.7,76.0,79.4,48.2,100,41.9,67.3,48.3,83.0,46.8,98.9,15.9,75.7,100,74.6,34.1,100,89.4,100,45.0,66.2,72.9,100,67.2
"Clemente, Dnaielle","285 Winfield St, Ovid NY, 14521",10,53.7,100,86.2,54.7,43.3,100,100,97.7,80.9,100,34.7,19.3,78.9,60.3,24.6,70.3,100,71.1,100,100,99.5,83.7,76.3,39.9,100,100,100
"Englar, Jeslyn","796 Sproule Ln, Petroleum WV, 26161",5,63.6,68.7,100,59.9,59.9,42.3,57.9,83.7,100,78.4,69.7,81.7,98.1,69.0,67.5,90.8,100,57.8,100,50.2,57.4,100,74.1,73.7,27.1,100,99.1
"Carretta, Sr., Katessa","702 West Halleck St, East Brookfield MA, 1515",2,45.6,52.8,97.1,64.6,57.3,100,73.0,94.5,96.8,46.4,100,84.8,76.8,61.1,93.1,38.8,83.8,51.2,100,90.5,100,100,99.6,1.4,20.0,37.8,42.7
"Byther, IV, Sim","824 Quintara St, Minot ND, 58702",5,100,93.7,71.6,93.5,100,87.7,90.8,100,73.3,86.5,73.1,45.2,81.9,78.1,97.0,90.6,77.8,23.1,81.3,86.3,92.7,87.8,82.2,94.0,74.2,78.4,71.6
"Baatz, Sr., Jenai","687 Pleasant St, Wilmington DE, 19807",2,100,76.8,100,79.1,73.7,95.5,35.1,35.4,76.3,96.5,57.8,84.8,53.9,95.1,100,100,80.3,84.2,91.2,73.2,73.3,100,14.0,86.1,100,78.8,95.7
"Kelk, Timotheus","802 Mahan St, Napa CA, 94558",9,100,96.0,74.7,56.3,84.5,43.0,100,14.0,100,100,77.6,60.0,100,100,45.1,88.3,36.4,82.8,84.2,54.5,69.5,96.4,68.8,70.4,45.1,90.5,100.0
"Bonfield, IV, Jeramiah","496 Brussels St, Montcalm WV, 24737",9,83.9,100,83.7,97.8,100,21.1,58.8,66.8,53.6,70.1,70.3,99.9,100,100,99.1,100,90.3,73.3,82.2,76.6,93.7,75.6,89.3,40.5,74.4,58.9,56.5
"Blumenfeld, Esq., Nykole","280 Hagiwara Tea Garden Dr, Autaugaville AL, 36003",2,73.3,89.4,52.0,67.8,45.0,100,71.1,100,93.8,32.6,59.5,84.4,51.4,31.1,100,56.5,68.0,66.0,100,94.9,82.2,64.1,57.9,56.3,58.2,85.9,69.9
"Lasselle, Tessie","148 Corwin St, Saragosa TX, 79780",2,100,81.2,76.5,46.8,46.8,77.4,100,48.4,79.1,57.4,55.4,97.4,53.2,86.6,76.7,89.6,100,67.8,58.1,48.5,100,71.0,65.7,85.4,100,53.0,48.8
"Dechamplain, Sr., Lezlie","847 17th St, Apt. 26, Conway AR, 72034",7,100,100,100,55.1,79.9,68.2,65.0,86.6,58.9,100,20.0,72.7,74.5,88.7,100,93.0,95.6,41.8,80.9,78.6,95.3,89.4,100,100,97.9,69.9,61.0
"Eraso, Sapphire","81 06th Ti St, Etna NH, 3750",10,52.4,56.9,100,42.8,66.5,100,57.5,60.4,48.1,62.9,77.1,85.1,98.3,100,68.9,,77.7,73.5,100,100,92.5,75.4,90.4,16.5,70.8,56.8,79.1
